発生日:2011/ 8/27 発生場所(29.370667, 129.597333) 震度:2
発生日:2011/ 8/29 発生場所(29.381000, 129.568000) 震度:3
発生日:2011/ 1/ 8 発生場所(29.395000, 130.393500) 震度:1
発生日:2011/ 2/11 発生場所(29.509000, 129.676667) 震度:1
発生日:2011/ 2/24 発生場所(29.512833, 129.690667) 震度:1
発生日:2011/ 2/24 発生場所(29.513833, 129.693667) 震度:1
発生日:2011/ 2/24 発生場所(29.532667, 129.669333) 震度:1
発生日:2011/ 8/25 発生場所(29.552000, 130.804333) 震度:1
発生日:2011/ 1/20 発生場所(29.552833, 129.581833) 震度:2
発生日:2011/ 8/25 発生場所(29.560333, 130.002833) 震度:1
発生日:2011/10/ 3 発生場所(29.560333, 130.121000) 震度:1
発生日:2011/ 8/25 発生場所(29.561333, 130.003500) 震度:1
発生日:2011/ 7/ 7 発生場所(29.576500, 129.705500) 震度:1
発生日:2011/ 1/17 発生場所(29.578333, 130.161333) 震度:1
発生日:2011/ 2/ 3 発生場所(29.584167, 129.761833) 震度:1
発生日:2011/ 2/ 3 発生場所(29.590833, 129.738000) 震度:2
発生日:2011/10/ 3 発生場所(29.600333, 129.864667) 震度:1
発生日:2011/ 2/ 3 発生場所(29.607500, 129.717167) 震度:3
発生日:2011/ 2/ 3 発生場所(29.607833, 129.692500) 震度:1
発生日:2011/11/11 発生場所(29.612333, 129.845667) 震度:2
発生日:2011/11/28 発生場所(29.616333, 129.819500) 震度:2
発生日:2011/ 2/ 7 発生場所(29.622667, 129.741667) 震度:2
発生日:2011/ 2/ 7 発生場所(29.622667, 129.776667) 震度:1
発生日:2011/ 2/ 5 発生場所(29.629500, 129.748667) 震度:1
発生日:2011/ 2/ 5 発生場所(29.633167, 129.767167) 震度:1
発生日:2011/ 2/ 7 発生場所(29.636333, 129.775667) 震度:1
発生日:2011/ 2/ 5 発生場所(29.644000, 129.781833) 震度:2
発生日:2011/ 2/ 7 発生場所(29.645000, 129.784500) 震度:1
発生日:2011/ 2/ 7 発生場所(29.645500, 129.768333) 震度:1
発生日:2011/ 2/ 3 発生場所(29.649500, 129.734000) 震度:1
発生日:2011/ 2/ 6 発生場所(29.663167, 129.729833) 震度:1
発生日:2011/ 1/13 発生場所(29.674333, 129.773833) 震度:1
発生日:2011/ 9/ 5 発生場所(29.697833, 129.776500) 震度:1
発生日:2011/11/12 発生場所(29.715167, 129.984500) 震度:2
発生日:2011/ 2/22 発生場所(29.860000, 129.925333) 震度:1
発生日:2011/ 2/18 発生場所(29.903500, 129.915000) 震度:1
発生日:2011/ 5/27 発生場所(29.928833, 129.888000) 震度:1
発生日:2011/ 3/12 発生場所(29.961833, 129.932667) 震度:1
発生日:2011/ 4/ 9 発生場所(30.016000, 131.838833) 震度:3
発生日:2011/ 5/ 9 発生場所(30.070333, 130.893667) 震度:1
発生日:2011/ 4/29 発生場所(30.239333, 130.949500) 震度:3
発生日:2011/ 6/23 発生場所(30.249000, 131.609500) 震度:2
発生日:2011/12/ 6 発生場所(30.295833, 130.846500) 震度:1
発生日:2011/ 7/ 8 発生場所(30.351333, 131.284667) 震度:1
発生日:2011/ 8/ 5 発生場所(30.496167, 130.347667) 震度:1
発生日:2011/12/31 発生場所(30.516833, 130.501000) 震度:1
発生日:2011/10/25 発生場所(30.819333, 131.241167) 震度:1
発生日:2011/12/31 発生場所(30.922833, 138.682500) 震度:1
発生日:2011/ 2/ 4 発生場所(31.080833, 131.515000) 震度:3
発生日:2011/ 5/27 発生場所(31.114833, 131.501333) 震度:1
発生日:2011/ 8/28 発生場所(31.119833, 131.515833) 震度:1
発生日:2011/ 2/ 7 発生場所(31.209167, 130.407667) 震度:3
発生日:2011/11/ 8 発生場所(31.215667, 130.731167) 震度:1
発生日:2011/11/ 6 発生場所(31.216667, 130.730333) 震度:1
発生日:2011/12/27 発生場所(31.267500, 140.875000) 震度:1
発生日:2011/ 7/ 8 発生場所(31.361167, 130.453500) 震度:1
発生日:2011/ 2/24 発生場所(31.455833, 140.669167) 震度:1
発生日:2011/12/ 5 発生場所(31.473000, 129.473000) 震度:1
発生日:2011/ 8/ 7 発生場所(31.543667, 138.276833) 震度:1
発生日:2011/ 8/ 8 発生場所(31.611667, 129.632167) 震度:1
発生日:2011/11/13 発生場所(31.618833, 129.612000) 震度:1
発生日:2011/ 5/29 発生場所(31.619333, 129.597833) 震度:3
発生日:2011/11/24 発生場所(31.689667, 130.967333) 震度:1
発生日:2011/ 2/ 1 発生場所(31.834167, 132.181333) 震度:1
発生日:2011/ 4/25 発生場所(31.882500, 131.080333) 震度:1
発生日:2011/ 3/ 8 発生場所(31.883000, 131.061667) 震度:1
発生日:2011/ 6/30 発生場所(31.910500, 131.001333) 震度:1
発生日:2011/ 4/ 9 発生場所(31.947333, 130.820167) 震度:1
発生日:2011/ 4/ 9 発生場所(31.947667, 130.824500) 震度:1
発生日:2011/10/26 発生場所(31.970167, 130.425667) 震度:1
発生日:2011/10/26 発生場所(31.970667, 130.424167) 震度:3
発生日:2011/ 3/ 4 発生場所(31.971833, 130.975167) 震度:2
発生日:2011/11/12 発生場所(31.974000, 130.425167) 震度:2
発生日:2011/11/13 発生場所(31.975000, 130.425500) 震度:1
発生日:2011/ 6/ 3 発生場所(31.976000, 130.987167) 震度:1
発生日:2011/12/22 発生場所(31.983000, 130.597167) 震度:1
発生日:2011/ 8/ 8 発生場所(32.012500, 130.972667) 震度:1
発生日:2011/ 1/25 発生場所(32.017333, 131.882833) 震度:1
発生日:2011/ 2/ 7 発生場所(32.018000, 131.567500) 震度:1
発生日:2011/11/20 発生場所(32.045167, 130.987333) 震度:1
発生日:2011/ 5/19 発生場所(32.046000, 131.760833) 震度:1
発生日:2011/12/ 2 発生場所(32.069333, 131.980333) 震度:1
発生日:2011/ 8/13 発生場所(32.074500, 131.963000) 震度:1
発生日:2011/ 2/18 発生場所(32.086167, 131.832500) 震度:1
発生日:2011/11/23 発生場所(32.087167, 131.983000) 震度:1
発生日:2011/ 6/26 発生場所(32.105667, 131.831500) 震度:1
発生日:2011/ 3/ 1 発生場所(32.114000, 131.850000) 震度:1
発生日:2011/ 2/28 発生場所(32.120667, 131.854667) 震度:3
発生日:2011/11/11 発生場所(32.126667, 131.855000) 震度:1
発生日:2011/ 4/20 発生場所(32.174833, 131.984500) 震度:2
発生日:2011/10/26 発生場所(32.176500, 138.384000) 震度:2
発生日:2011/ 2/ 5 発生場所(32.232333, 130.398833) 震度:2
発生日:2011/ 5/10 発生場所(32.240667, 131.286167) 震度:2
発生日:2011/ 6/ 6 発生場所(32.323667, 130.530833) 震度:1
発生日:2011/ 7/19 発生場所(32.328333, 130.508167) 震度:1
発生日:2011/12/23 発生場所(32.357167, 131.926667) 震度:1
発生日:2011/ 7/31 発生場所(32.401667, 131.783333) 震度:1
発生日:2011/ 6/ 5 発生場所(32.456167, 130.612333) 震度:1
発生日:2011/10/25 発生場所(32.497667, 130.584333) 震度:1
発生日:2011/11/ 1 発生場所(32.514000, 132.290500) 震度:1
発生日:2011/ 2/21 発生場所(32.518833, 130.763667) 震度:1
発生日:2011/12/27 発生場所(32.527667, 130.763500) 震度:2
発生日:2011/11/ 1 発生場所(32.538000, 130.603333) 震度:1
発生日:2011/11/15 発生場所(32.538500, 130.768500) 震度:1
発生日:2011/ 3/13 発生場所(32.547333, 129.934833) 震度:1
発生日:2011/11/11 発生場所(32.559667, 128.611333) 震度:1
発生日:2011/ 9/ 5 発生場所(32.563500, 130.501000) 震度:1
発生日:2011/12/20 発生場所(32.563833, 130.048500) 震度:2
発生日:2011/ 3/16 発生場所(32.567167, 130.716667) 震度:1
発生日:2011/ 1/ 7 発生場所(32.570000, 130.605500) 震度:3
